MillCity-NV,41
Eureka-NV,36
Wells-NV,37
Howe-ID,36
Jackpot-NV,38
Montello-NV,36
Owyhee-NV,42
Eugene-OR,51
Gresham-OR,51
Hillsbboro-OR,50
Bend-OR,42
Beaverton-OR,77
Medford-OR,46
Johnday-OR,44
Roseburg-OR,50
Bakercity-OR,40
salem-OR,77
Newport-OR,48
Ashland-OR,57
Riley-OR,42
Seattle-WA,50
Spokane-WA,44
Tacoma-WA,49
Vancouver-WA,51
Bellevue-WA,50
Kent-WA,51
Leavenworth-WA,41
Yakima-WA,44
Richland-WA,50
Pullman-WA,44
WestWendover-NV,37
LosAngeles-CA,66
SanDiego-CA,62
SanJose-CA,60
SanFrancisco-CA,56
Fresno-CA,54
Sacramento-CA,55
LongBeach-CA,55
Redding-CA,52
Bakersfield-CA,55
Bishop-CA,45
Irvine-CA,64
Darwin-CA,85
Bayswater-CA,57
Arvin-CA,56
Albuquerque-NM,46
LasCruces-NM,51
RioRancho-NM,45
SantaFe-NM,82
Roswell-NM,52
SaltLakeCity-UT,44
WestValleyCity-UT,44
Provo-UT,42
WestJordan-UT,44
Sandy-UT,44
Orem-UT,41
Ogden-UT,44
Missoula-MT,40
GreatFalls-MT,43
Bozeman-MT,37
Butte-SilverBow-MT,36
Helena-MT,41
Kalispell-MT,37
Almosa-CO,30
Cortez-CO,39
GrandJunction-CO,40
Pueblo-CO,42
Lamar-CO,43
Fortcollins-CO,43
Aspen-CO,31
Telluride-CO,36
Montrose-CO,43
Prescott-AZ,47
Buckeye-AZ,63
Sedona-AZ,55
Tucson-AZ,63
Phoenix-AZ,68
Chinle-AZ,37
Kingman-AZ,51
Laramie-WY,38
Gillette-WY,42
RockSprings-WY,30
Sheridan-WY,37
GreenRiver-WY,83
Evanston-WY,47
Lander-WY,38
Rawlins-WY,83
Casper-WY,43
Gillette-WY,42
Cody-WY,44
Dubois-WY,40
JordanValley-OR,42
Rome-OR,55
Adrian-OR,40
Nyssa-OR,44
Owyhee-OR,42
Williston-ND,39
Dickinson-ND,39
Bowman-NE,40
Harrison-NE,38
Imperial-NE,44
Alliance-NE,40
Grant-NS,37
ElPaso-TX,43
Tribune-NV,45
SharonSprings-KS,45
Loeti-KS,46
Boise-ID,45
Meridian-ID,46
Nampa-ID,43
IdahoFalls-ID,41
Pocatello-ID,41
Caldwell-ID,41
Ketchum,0
Chilly,0
May,0
Donnelly,0
Buhl,0
Kamaih,0
Butte,0
